content_id,text,clean_text,publish_time,sentiment_score,sentiment_label,emotion_keywords,confidence,user_id,user_followers,user_region,repost_count,comment_count,quote_count
内容的唯一标识符,原始文本内容,清洗处理后的文本,内容发布的时间,情感得分,情感标签,情感关键词,情感分析模型的置信度,用户的唯一标识符,用户的粉丝数,用户的地域信息,内容被转发的次数,内容的评论数,内容的引用次数
5087a5a3c22e3f4c,今天天气真好，心情很不错！阳光明媚，适合出去散步。,今天天气真好，心情很不错！阳光明媚，适合出去散步。,2025/5/27 12:49,-0.077,中性,"['提醒', '说明', '思考']",0.762,user_918561,132169,西安市,1015,3197,1300
299aa8f97b6fee2f,今天天气真好，心情很不错！阳光明媚，适合出去散步。,今天天气真好，心情很不错！阳光明媚，适合出去散步。,2025/5/31 7:46,0.901,正面,"['开心', '满意', '感谢']",0.738,user_403208,669019,呼和浩特市,6616,4876,201
e7ee00dec51b28f6,科技发展日新月异，人工智能改变生活。,科技发展日新月异，人工智能改变生活。,2025/5/17 11:39,-0.903,负面,"['谴责', '反对', '抗议']",0.877,user_291936,840757,南宁市,264,3668,174
0c0d61608cabbac3,</p>疫情防控措施很到位，为医护人员点赞！[广告],疫情防控措施很到位，为医护人员点赞！,2025/5/18 3:29,-0.805,负面,"['失望', '担心']",0.858,user_154572,925604,福州市,2154,652,470
106b979787b580d1,今天天气真好，心情很不错！阳光明媚，适合出去散步。,今天天气真好，心情很不错！阳光明媚，适合出去散步。,2025/5/28 14:45,0.089,中性,"['关注', '思考']",0.826,user_528807,656952,青岛市,6617,3890,1275
6d0ddd047e904f24,教育改革政策需要更多时间来观察效果。,教育改革政策需要更多时间来观察效果。,2025/5/27 9:53,-0.627,负面,"['批评', '抗议', '谴责']",0.659,user_364415,780402,兰州市,8481,3923,552
5423e91487311d33,</p>科技发展日新月异，人工智能改变生活。<span>,科技发展日新月异，人工智能改变生活。,2025/5/26 16:53,0.124,正面,"['喜欢', '支持', '感谢']",0.841,user_656407,43750,福州市,2955,3944,603
f08b430a00dd616a,对这个政策表示强烈抗议，这完全不合理！,对这个政策表示强烈抗议，这完全不合理！,2025/5/26 8:59,0.395,正面,"['开心', '点赞', '期待']",0.744,user_876220,702103,长沙市,3771,1200,800
0e81a57f087e2a00,疫情防控措施很到位，为医护人员点赞！,疫情防控措施很到位，为医护人员点赞！,2025/5/23 0:12,0.048,中性,"['提醒', '关注', '讨论']",0.833,user_183558,328694,重庆市,9102,4385,1699
428446574e218bbb,</p>食品安全问题不容忽视，监管要更加严格。</span>,食品安全问题不容忽视，监管要更加严格。,2025/5/28 21:03,-0.7,负面,"['反对', '愤怒', '不满']",0.618,user_672676,335778,广州市,8737,4590,665
a6f33659053401be,最近股市波动很大，投资需要谨慎。,最近股市波动很大，投资需要谨慎。,2025/6/5 1:28,0.039,中性,"['提醒', '说明']",0.746,user_117656,26432,西安市,3144,108,1561
e133b988bc425211,<p>今天天气真好，心情很不错！阳光明媚，适合出去散步。<p>,今天天气真好，心情很不错！阳光明媚，适合出去散步。,2025/5/27 5:59,0.063,中性,['分析'],0.904,user_582841,343064,济南市,2643,2509,1436
7bdf9a4d951a5c9e,新产品发布会很成功，期待后续发展。,新产品发布会很成功，期待后续发展。,2025/5/18 11:09,-0.854,负面,"['失望', '不满', '愤怒']",0.788,user_478410,579124,天津市,6615,969,161
eed90064ec0c445f,今天天气真好，心情很不错！阳光明媚，适合出去散步。,今天天气真好，心情很不错！阳光明媚，适合出去散步。,2025/5/31 12:25,0.525,正面,"['赞美', '支持']",0.89,user_647735,377577,天津市,8022,2402,1571
8a980c69917d7bbb,【推广】房价又涨了，年轻人买房压力越来越大。【推广】,房价又涨了，年轻人买房压力越来越大。,2025/5/11 4:40,-0.191,负面,['抗议'],0.71,user_991714,690062,乌鲁木齐市,9060,3658,1821
a4c07cb35a94fc37,[广告]新产品发布会很成功，期待后续发展。</p>,新产品发布会很成功，期待后续发展。,2025/5/6 23:24,0.979,正面,['赞美'],0.671,user_589649,560390,南宁市,5289,4081,834
e7653850d37b2ec1,体育赛事精彩纷呈，为运动员加油！,体育赛事精彩纷呈，为运动员加油！,2025/5/21 15:38,0.099,中性,['提醒'],0.817,user_583918,312427,西宁市,1490,1032,948
cf7800c2214c52f6,最近股市波动很大，投资需要谨慎。,最近股市波动很大，投资需要谨慎。,2025/5/30 12:42,-0.519,负面,['失望'],0.601,user_895256,954787,哈尔滨市,5007,3726,870
712125f9f1a5032f,体育赛事精彩纷呈，为运动员加油！,体育赛事精彩纷呈，为运动员加油！,2025/5/21 14:52,-0.103,负面,"['担心', '抗议']",0.926,user_101211,575290,哈尔滨市,9775,3299,1499
5b199b5fb7ce8743,交通堵塞太严重了，上班迟到了半小时，真是烦人。,交通堵塞太严重了，上班迟到了半小时，真是烦人。,2025/6/5 12:14,-0.476,负面,"['不满', '抗议']",0.937,user_199101,850243,南京市,1951,4077,1416
bd26906c6654ee6b,文化传承很重要，传统节日应该得到重视。,文化传承很重要，传统节日应该得到重视。,2025/5/18 0:56,0.007,中性,"['分析', '观察', '建议']",0.729,user_437212,996220,哈尔滨市,6643,3320,1864
4c95273d0b3984a2,</p>食品安全问题不容忽视，监管要更加严格。[广告],食品安全问题不容忽视，监管要更加严格。,2025/5/11 10:04,0.607,正面,"['支持', '开心', '点赞']",0.771,user_869478,895981,长沙市,3844,3589,375
922c8c8927314121,交通堵塞太严重了，上班迟到了半小时，真是烦人。,交通堵塞太严重了，上班迟到了半小时，真是烦人。,2025/5/31 7:38,-0.799,负面,['抗议'],0.718,user_615146,203880,石家庄市,1023,4916,960
b30ac7489239d6e2,对这个政策表示强烈抗议，这完全不合理！,对这个政策表示强烈抗议，这完全不合理！,2025/5/30 15:05,-0.07,中性,"['讨论', '建议', '提醒']",0.947,user_822330,538200,兰州市,5650,4174,410
6dc74e452fe90ff3,教育改革政策需要更多时间来观察效果。,教育改革政策需要更多时间来观察效果。,2025/5/16 15:05,-0.296,负面,"['批评', '愤怒', '反对']",0.628,user_881704,407951,呼和浩特市,1224,2323,759
a2adb60a58d98035,【推广】科技发展日新月异，人工智能改变生活。【推广】,科技发展日新月异，人工智能改变生活。,2025/5/8 1:20,-0.904,负面,"['失望', '抗议', '愤怒']",0.615,user_407293,785785,长沙市,4084,3393,1361
0639e8c03a9f450d,<span>教育改革政策需要更多时间来观察效果。</span>,教育改革政策需要更多时间来观察效果。,2025/5/18 5:34,0.085,中性,['建议'],0.88,user_595973,414623,无锡市,1119,4163,1948
e3671b30d55fb716,教育改革政策需要更多时间来观察效果。,教育改革政策需要更多时间来观察效果。,2025/5/29 21:26,0.078,中性,"['观察', '说明', '分析']",0.655,user_432886,670125,广州市,8566,121,401
3b96ea5ea8912aee,今天天气真好，心情很不错！阳光明媚，适合出去散步。,今天天气真好，心情很不错！阳光明媚，适合出去散步。,2025/5/11 16:01,-0.893,负面,['谴责'],0.673,user_955374,901560,太原市,3592,3148,403
c8570043d5f942b5,最近股市波动很大，投资需要谨慎。,最近股市波动很大，投资需要谨慎。,2025/5/22 5:13,0.406,正面,"['赞美', '感谢', '期待']",0.644,user_238237,212364,西安市,3396,409,1990
2a92e3372b762178,<br>教育改革政策需要更多时间来观察效果。【推广】,教育改革政策需要更多时间来观察效果。,2025/5/24 11:41,-0.748,负面,"['失望', '愤怒', '反对']",0.856,user_395740,670539,苏州市,778,3508,1567
b0667551bc09035d,体育赛事精彩纷呈，为运动员加油！,体育赛事精彩纷呈，为运动员加油！,2025/6/1 9:11,0.917,正面,"['满意', '喜欢', '点赞']",0.899,user_940680,151301,南宁市,2758,3064,373
25ba10c0460e6332,体育赛事精彩纷呈，为运动员加油！,体育赛事精彩纷呈，为运动员加油！,2025/5/16 14:45,0.096,中性,"['说明', '观察']",0.847,user_999184,455375,长春市,360,2308,1119
4b173e09c5905de2,这家餐厅的服务态度很好，菜品也很美味，值得推荐。,这家餐厅的服务态度很好，菜品也很美味，值得推荐。,2025/5/24 18:58,-0.031,中性,"['建议', '说明', '提醒']",0.798,user_880929,559348,青岛市,4387,4431,1904
658d12c006d36fda,<span>环保意识需要进一步提高，保护我们的地球家园。<br>,环保意识需要进一步提高，保护我们的地球家园。,2025/5/30 0:35,-0.507,负面,"['不满', '批评', '抗议']",0.838,user_417481,478986,成都市,6566,2592,860
99a10921587acab6,教育改革政策需要更多时间来观察效果。,教育改革政策需要更多时间来观察效果。,2025/5/8 1:53,0.065,中性,"['思考', '讨论', '关注']",0.777,user_170853,647652,大连市,3475,380,1692
fe1f8ce774dfb61f,最近股市波动很大，投资需要谨慎。,最近股市波动很大，投资需要谨慎。,2025/5/14 18:05,-0.837,负面,['批评'],0.84,user_210045,576543,青岛市,3984,2278,120
363bf0cee6ddac62,环保意识需要进一步提高，保护我们的地球家园。,环保意识需要进一步提高，保护我们的地球家园。,2025/5/20 16:35,0.074,中性,['建议'],0.619,user_724780,764442,重庆市,5387,1183,1593
8d12a2c24b8fcac0,房价又涨了，年轻人买房压力越来越大。,房价又涨了，年轻人买房压力越来越大。,2025/5/7 9:33,0.54,正面,['喜欢'],0.656,user_720433,748820,广州市,9408,2225,1067
